,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
0,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[9.0,8.0,1.0]",Classic,88.568,91.367,0.00024,"[0.0, 94.1, 90.0, 90.0]",0.2,0.1,"[9, 0, 1]","[9, 8, 1]"
1,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[9.0,8.0,1.0]",ROTH,88.568,92.05,0.00037,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,"[9, 0, 1]","[9, 8, 1]"
2,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[9.0,8.0,1.0]",PHAT,88.568,92.05,0.00037,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,"[9, 0, 1]","[9, 8, 1]"
3,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[9.0,8.0,1.0]",SCOT,88.568,92.05,0.00037,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,"[9, 0, 1]","[9, 8, 1]"
4,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[9.0,8.0,1.0]",ECKART,88.568,92.05,0.00037,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,"[9, 0, 1]","[9, 8, 1]"
5,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[9.0,8.0,1.0]",HT,88.568,92.05,0.00037,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,"[9, 0, 1]","[9, 8, 1]"
6,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[5.0,5.0,1.0]",Classic,130.03,129.443,1e-05,"[0.0, 130.03, 130.03, 128.27]",0.2,0.1,"[9, 0, 1]","[5, 5, 1]"
7,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[5.0,5.0,1.0]",ROTH,130.03,131.89,0.00011,"[0.0, 135.61, 130.03, 130.03]",0.2,0.1,"[9, 0, 1]","[5, 5, 1]"
8,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[5.0,5.0,1.0]",PHAT,130.03,131.89,0.00011,"[0.0, 135.61, 130.03, 130.03]",0.2,0.1,"[9, 0, 1]","[5, 5, 1]"
9,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[5.0,5.0,1.0]",SCOT,130.03,131.89,0.00011,"[0.0, 135.61, 130.03, 130.03]",0.2,0.1,"[9, 0, 1]","[5, 5, 1]"
10,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[5.0,5.0,1.0]",ECKART,130.03,121.88,0.00205,"[0.0, 120.01, 122.41, 123.22]",0.2,0.1,"[9, 0, 1]","[5, 5, 1]"
11,"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[5.0,5.0,1.0]",HT,130.03,129.443,1e-05,"[0.0, 130.03, 130.03, 128.27]",0.2,0.1,"[9, 0, 1]","[5, 5, 1]"
